EVENT_WOBA,WOBA_CUMU_BAT,WOBA_CUMU_PIT,HAND_MATCH,BAT_HOME_IND,PIT_REST,DAYS_SINCE_SZN_START,IN_DIV,IN_LEAGUE,PITCH_COUNT_CUMU,FIELD_POS,OUTS_CT,ORDER_CT,BATTER_IDX
1.979,0.5056285714285714,0.32769230769230767,1,1,5,19,1,1,48,5,0,2,4
0.883,0.4381923076923077,0.3673571428571428,0,1,5,19,1,1,55,10,0,2,5
0.883,0.2792608695652174,0.40173333333333333,1,1,5,19,1,1,58,3,0,2,6
1.979,0.41807142857142854,0.5003125,0,1,5,19,1,1,63,2,0,2,7
0,0.23948387096774193,0.47088235294117653,1,1,5,19,1,1,66,7,0,2,8
1.979,0.5320769230769231,0.5546666666666666,0,1,5,19,1,1,69,9,1,2,9
0,0.30076315789473684,0.5254736842105263,1,1,5,19,1,1,74,6,1,3,1
0.883,0.4087727272727273,0.54335,0,1,5,19,1,1,76,4,2,3,2
0,0.4415,0.2674878048780488,0,0,5,19,1,1,75,4,0,2,8
0,0,0.26111904761904764,0,0,5,19,1,1,76,2,1,2,9
0,0.19774999999999998,0.255046511627907,1,0,5,19,1,1,80,6,2,3,1
0.728,0.376125,0.26579545454545456,1,0,5,19,1,1,83,8,0,3,2
0,0.17475,0.2598888888888889,0,0,5,19,1,1,87,3,0,3,3
0,0.6895,0.25423913043478263,1,0,5,19,1,1,91,5,1,3,4
0,0.31174999999999997,0.24882978723404256,1,0,5,19,1,1,96,9,2,3,5
0,0.52725,0.24364583333333334,1,0,5,19,1,1,102,7,0,3,6
0,0,0.2386734693877551,1,0,5,19,1,1,104,10,1,3,7
0,0.29433333333333334,0.2339,0,0,5,19,1,1,108,4,2,3,8
0,0.22809999999999997,0.2711923076923077,1,0,5,20,1,1,3,6,0,1,1
0,0.3009,0.26114814814814813,1,0,5,20,1,1,8,8,1,1,2
1.979,0.3377,0.32249999999999995,0,0,5,20,1,1,11,3,2,1,3
0,0.6128888888888889,0.3113793103448276,1,0,5,20,1,1,18,5,2,1,4
0,0.32702439024390245,0,1,1,5,20,1,1,3,6,0,1,1
0,0.4038333333333333,0,0,1,5,20,1,1,5,4,1,1,2
1.979,0.593952380952381,0.6596666666666667,1,1,5,20,1,1,10,8,2,1,3
0,0.4716923076923077,0.49475,1,1,5,20,1,1,14,5,2,1,4
1.238,0.37320000000000003,0.34226666666666666,1,0,5,20,1,1,23,10,0,1,5
1.979,0.708,0.39506451612903226,1,0,5,20,1,1,26,7,0,1,6
0,0.14716666666666667,0.38271875,1,0,5,20,1,1,28,9,0,1,7
0,0.22075,0.37112121212121213,0,0,5,20,1,1,29,4,1,1,8
0.883,0.3532,0.38617647058823534,1,0,5,20,1,1,30,2,2,1,9
0,0.20736363636363633,0.37514285714285717,1,0,5,20,1,1,31,6,2,2,1
0,0.4092,0.39580000000000004,0,1,5,20,1,1,19,10,0,1,5
0,0.281,0.32983333333333337,1,1,5,20,1,1,21,3,1,1,6
0,0.4582352941176471,0.28271428571428575,0,1,5,20,1,1,26,2,2,1,7
0,0.27354545454545454,0.3647222222222222,1,0,5,20,1,1,35,8,0,2,2
0,0.307,0.3548648648648649,0,0,5,20,1,1,38,3,1,2,3
1.238,0.6754,0.3781052631578947,1,0,5,20,1,1,43,5,2,2,4
0,0.3392727272727273,0.36841025641025643,1,0,5,20,1,1,49,10,2,2,5
0,0.3532,0.247375,1,1,5,20,1,1,32,9,0,1,8
1.238,0.5197241379310346,0.35744444444444445,0,1,5,20,1,1,35,7,1,1,9
0.883,0.34026190476190477,0.41,1,1,5,20,1,1,36,6,1,2,1
0.883,0.423,0.45300000000000007,0,1,5,20,1,1,43,4,1,2,2
0,0.5669545454545455,0.41525000000000006,1,1,5,20,1,1,44,8,1,2,3
0,0.45990000000000003,0.38330769230769235,1,1,5,20,1,1,46,5,2,2,4
0,0.6436363636363637,0.3592,1,0,5,20,1,1,51,7,0,2,6
1.979,0.40885714285714286,0.39870731707317075,1,0,5,20,1,1,54,9,1,2,7
0,0.1766,0.38921428571428573,0,0,5,20,1,1,60,4,1,2,8
0,0.29433333333333334,0.38016279069767445,1,0,5,20,1,1,63,2,2,2,9
0,0.396,0.3559285714285715,0,1,5,20,1,1,51,10,0,2,5
0,0.2705925925925926,0.33220000000000005,1,1,5,20,1,1,54,3,1,2,6
0,0.43277777777777776,0.31143750000000003,0,1,5,20,1,1,59,2,2,2,7
0,0.29433333333333334,0.29311764705882354,1,1,5,20,1,1,65,9,0,2,8
0,0.5024000000000001,0.2768333333333334,0,1,5,20,1,1,68,7,1,2,9
0,0.33234883720930236,0.26226315789473686,1,1,5,20,1,1,71,6,2,3,1
0,0.40673076923076923,0.24915000000000004,0,1,5,20,1,1,73,4,0,3,2
0,0.5423043478260869,0.23728571428571432,1,1,5,20,1,1,78,8,1,3,3
1.979,0.4969512195121951,0.31645454545454543,1,1,5,20,1,1,80,5,2,3,4
0.699,0.699,0.35450000000000004,0,0,6,22,0,0,5,9,0,1,1
0,0,0.3358421052631579,1,0,6,22,0,0,8,6,0,1,2
0.883,0.883,0.3632,0,0,6,22,0,0,9,5,1,1,3
0,0,0.34590476190476194,0,0,6,22,0,0,13,7,1,1,4
0,0,0.3301818181818182,1,0,6,22,0,0,20,8,2,1,5
0,0.3175777777777778,0,0,1,6,22,0,0,6,6,0,1,1
0,0.3776785714285714,0,1,1,6,22,0,0,8,4,1,1,2
0,0.52688,0,0,1,6,22,0,0,12,8,2,1,3
0.883,0.883,0.3542173913043478,0,0,6,22,0,0,22,10,0,1,6
0,0,0.33945833333333336,0,0,6,22,0,0,26,4,0,1,7
0,0,0.32588,1,0,6,22,0,0,30,3,2,1,8
0.699,0.4900930232558139,0.17475,0,1,6,22,0,0,18,5,0,1,4
