k,c,pc,alpha_line
4,1B,181,-0.40997937737230766
4,1B,182,-0.40897937737230766
4,1B,183,-0.40797937737230766
4,1B,184,-0.40697937737230766
4,1B,185,-0.40597937737230766
4,1B,186,-0.40497937737230766
4,1B,187,-0.40397937737230766
4,1B,188,-0.40297937737230766
4,1B,189,-0.40197937737230766
4,1B,190,-0.40097937737230765
4,1B,191,-0.39997937737230765
4,1B,192,-0.39897937737230765
4,1B,193,-0.39797937737230765
4,1B,194,-0.39697937737230765
4,1B,195,-0.39597937737230765
4,1B,196,-0.39497937737230765
4,1B,197,-0.39397937737230765
4,1B,198,-0.39297937737230765
4,1B,199,-0.39197937737230765
4,1B,200,-0.39097937737230765
5,2B,1,-1.2483585824878976
5,2B,2,-1.2462479726967093
5,2B,3,-1.244137362905521
5,2B,4,-1.2420267531143327
5,2B,5,-1.2399161433231445
5,2B,6,-1.2378055335319562
5,2B,7,-1.235694923740768
5,2B,8,-1.2335843139495797
5,2B,9,-1.2314737041583914
5,2B,10,-1.2293630943672031
5,2B,11,-1.2272524845760149
5,2B,12,-1.2251418747848266
5,2B,13,-1.2230312649936383
5,2B,14,-1.22092065520245
5,2B,15,-1.2188100454112618
5,2B,16,-1.2166994356200735
5,2B,17,-1.2145888258288855
5,2B,18,-1.2124782160376972
5,2B,19,-1.210367606246509
5,2B,20,-1.2082569964553207
5,2B,21,-1.2061463866641324
5,2B,22,-1.2040357768729442
5,2B,23,-1.201925167081756
5,2B,24,-1.1998145572905676
5,2B,25,-1.1977039474993794
5,2B,26,-1.195593337708191
5,2B,27,-1.1934827279170028
5,2B,28,-1.1913721181258146
5,2B,29,-1.1892615083346263
5,2B,30,-1.187150898543438
5,2B,31,-1.1850402887522498
5,2B,32,-1.1829296789610615
5,2B,33,-1.1808190691698732
5,2B,34,-1.178708459378685
5,2B,35,-1.1765978495874967
5,2B,36,-1.1744872397963084
5,2B,37,-1.1723766300051202
5,2B,38,-1.170266020213932
5,2B,39,-1.1681554104227436
5,2B,40,-1.1660448006315554
5,2B,41,-1.163934190840367
5,2B,42,-1.1618235810491788
5,2B,43,-1.1597129712579906
5,2B,44,-1.1576023614668023
5,2B,45,-1.155491751675614
5,2B,46,-1.1533811418844258
5,2B,47,-1.1512705320932377
5,2B,48,-1.1491599223020494
5,2B,49,-1.1470493125108612
5,2B,50,-1.144938702719673
5,2B,51,-1.1428280929284846
5,2B,52,-1.1407174831372964
5,2B,53,-1.138606873346108
5,2B,54,-1.1364962635549198
5,2B,55,-1.1343856537637316
5,2B,56,-1.1322750439725433
5,2B,57,-1.130164434181355
5,2B,58,-1.1280538243901668
5,2B,59,-1.1259432145989785
5,2B,60,-1.1238326048077902
5,2B,61,-1.121721995016602
5,2B,62,-1.1196113852254137
5,2B,63,-1.1175007754342254
5,2B,64,-1.1153901656430372
5,2B,65,-1.113279555851849
5,2B,66,-1.1111689460606606
5,2B,67,-1.1090583362694724
5,2B,68,-1.106947726478284
5,2B,69,-1.1048371166870958
5,2B,70,-1.1027265068959076
5,2B,71,-1.1006158971047193
5,2B,72,-1.098505287313531
5,2B,73,-1.0963946775223428
5,2B,74,-1.0942840677311545
5,2B,75,-1.0921734579399662
5,2B,76,-1.090062848148778
5,2B,77,-1.0879522383575897
5,2B,78,-1.0858416285664014
5,2B,79,-1.0837310187752132
5,2B,80,-1.081620408984025
